ユリウス暦,718/2/5,3月7日,4月6日,5月5日,6月3日,7月3日,8月1日,8月30日,9月29日,10月28日,11月27日,12月26日,
養老三年（己未）,一月,二月,三月※,四月,五月※,六月,七月※,閏七月※,八月,九月※,十月,十一月※,十二月
ユリウス暦,719/1/25,2月24日,3月26日,4月24日,5月24日,6月22日,7月22日,8月20日,9月18日,10月18日,11月16日,12月16日,720/1/14
養老四年（庚申）,一月,二月※,三月,四月,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,720/2/13,3月14日,4月12日,5月12日,6月11日,7月10日,8月9日,9月7日,10月6日,11月5日,12月4日,721/1/3,
養老五年（辛酉）,一月,二月※,三月,四月,五月※,六月,七月※,八月,九月,十月※,十一月※,十二月,
ユリウス暦,721/2/1,3月3日,4月1日,5月1日,5月31日,6月29日,7月29日,8月27日,9月26日,10月26日,11月24日,12月23日,
養老六年（壬戌）,一月※,二月,三月※,四月,閏四月※,五月,六月,七月※,八月,九月,十月※,十一月,十二月※
ユリウス暦,722/1/22,2月20日,3月22日,4月20日,5月20日,6月18日,7月18日,8月17日,9月15日,10月15日,11月14日,12月13日,723/1/12
養老七年（癸亥）,一月※,二月,三月※,四月,五月※,六月,七月※,八月,九月,十月※,十一月,十二月,
ユリウス暦,723/2/10,3月11日,4月10日,5月9日,6月8日,7月7日,8月6日,9月4日,10月4日,11月3日,12月2日,724/1/1,
養老八年（甲子）,一月※,二月※,三月,四月※,五月※,六月,七月※,八月,九月,十月,十一月※,十二月,
ユリウス暦,724/1/31,2/29,3月29日,4月28日,5月27日,6月25日,7月25日,8月23日,9月22日,10月22日,11月21日,12月20日,
神亀元年（甲子）,一月※,二月※,三月,四月※,五月※,六月,七月※,八月,九月,十月,十一月※,十二月,
ユリウス暦,724/1/31,2/29,3月29日,4月28日,5月27日,6月25日,7月25日,8月23日,9月22日,10月22日,11月21日,12月20日,
神亀二年（乙丑）,一月,閏一月※,二月※,三月,四月※,五月※,六月,七月※,八月,九月,十月※,十一月,十二月
ユリウス暦,725/1/19,2月18日,3月19日,4月17日,5月17日,6月15日,7月14日,8月13日,9月11日,10月11日,11月10日,12月9日,726/1/8
神亀三年（丙寅）,一月,二月※,三月※,四月,五月※,六月※,七月,八月,九月※,十月※,十一月,十二月,
ユリウス暦,726/2/7,3月9日,4月7日,5月6日,6月5日,7月4日,8月2日,9月1日,10月1日,10月30日,11月28日,12月28日,
神亀四年（丁卯）,一月,二月※,三月,四月※,五月,六月※,七月※,八月,九月※,閏九月,十月※,十一月,十二月
ユリウス暦,727/1/27,2月26日,3月27日,4月26日,5月25日,6月24日,7月23日,8月21日,9月20日,10月19日,11月18日,12月17日,728/1/16
神亀五年（戊辰）,一月※,二月,三月,四月※,五月,六月※,七月※,八月,九月※,十月,十一月※,十二月,
ユリウス暦,728/2/15,3月15日,4月14日,5月14日,6月12日,7月12日,8月10日,9月8日,10月8日,11月6日,12月6日,729/1/4,
神亀六年（己巳）,一月,二月※,三月,四月※,五月,六月,七月※,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,729/2/3,3月5日,4月3日,5月3日,6月1日,7月1日,7月31日,8月29日,9月27日,10月27日,11月25日,12月25日,
天平元年（己巳）,一月,二月※,三月,四月※,五月,六月,七月※,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,729/2/3,3月5日,4月3日,5月3日,6月1日,7月1日,7月31日,8月29日,9月27日,10月27日,11月25日,12月25日,
天平二年（庚午）,一月,二月※,三月,四月,五月※,六月,閏六月※,七月,八月※,九月,十月※,十一月,十二月※
ユリウス暦,730/1/23,2月22日,3月23日,4月22日,5月22日,6月20日,7月20日,8月18日,9月17日,10月16日,11月15日,12月14日,731/1/13
天平三年（辛未）,一月,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
ユリウス暦,731/2/11,3月13日,4月11日,5月11日,6月9日,7月9日,8月7日,9月6日,10月6日,11月4日,12月4日,732/1/2,
天平四年（壬申）,一月※,二月,三月※,四月※,五月,六月,七月※,八月,九月,十月※,十一月,十二月,
ユリウス暦,732/2/1,3月1日,3月31日,4月29日,5月28日,6月27日,7月27日,8月25日,9月24日,10月24日,11月22日,12月22日,
天平五年（癸酉）,一月※,二月,三月※,閏三月※,四月※,五月,六月※,七月,八月,九月※,十月,十一月,十二月※
ユリウス暦,733/1/21,2月19日,3月21日,4月19日,5月18日,6月16日,7月16日,8月14日,9月13日,10月13日,11月11日,12月11日,734/1/10
天平六年（甲戌）,一月,二月※,三月,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月,
ユリウス暦,734/2/8,3月10日,4月8日,5月8日,6月6日,7月5日,8月4日,9月2日,10月2日,10月31日,11月30日,12月30日,
天平七年（乙亥）,一月※,二月,三月※,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,閏十一月,十二月※
