元暦,j1184-05-27,j1185-04-25,源氏政権,元暦,平氏政権,寿永,,,
元暦,j1185-04-26,j1185-09-09,,,,,,,
文治,j1185-09-09,j1190-05-16,,,,,,,
建久,j1190-05-16,j1199-05-23,,,,,,,
正治,j1199-05-23,j1201-03-19,,,,,,,
建仁,j1201-03-19,j1204-03-23,,,,,,,
元久,j1204-03-23,j1206-06-05,,,,,,,
建永,j1206-06-05,j1207-11-16,,,,,,,
承元,j1207-11-16,j1211-04-23,,,,,,,
建暦,j1211-04-23,j1214-01-18,,,,,,,
建保,j1214-01-18,j1219-05-27,,,,,,,
承久,j1219-05-27,j1222-05-25,,,,,,,
貞応,j1222-05-25,j1224-12-31,,,,,,,
元仁,j1224-12-31,j1225-05-28,,,,,,,
嘉禄,j1225-05-28,j1228-01-18,,,,,,,
安貞,j1228-01-18,j1229-03-31,,,,,,,
寛喜,j1229-03-31,j1232-04-23,,,,,,,
貞永,j1232-04-23,j1233-05-25,,,,,,,
天福,j1233-05-25,j1234-11-27,,,,,,,
文暦,j1234-11-27,j1235-11-01,,,,,,,
嘉禎,j1235-11-01,j1238-12-30,,,,,,,
暦仁,j1238-12-30,j1239-03-13,,,,,,,
延応,j1239-03-13,j1240-08-05,,,,,,,
仁治,j1240-08-05,j1243-03-18,,,,,,,
寛元,j1243-03-18,j1247-04-05,,,,,,,
宝治,j1247-04-05,j1249-05-02,,,,,,,
建長,j1249-05-02,j1256-10-24,,,,,,,
康元,j1256-10-24,j1257-03-31,,,,,,,
正嘉,j1257-03-31,j1259-04-20,,,,,,,
正元,j1259-04-20,j1260-05-24,,,,,,,
文応,j1260-05-24,j1261-03-22,,,,,,,
弘長,j1261-03-22,j1264-03-27,,,,,,,
文永,j1264-03-27,j1275-05-22,,,,,,,
建治,j1275-05-22,j1278-03-23,,,,,,,
弘安,j1278-03-23,j1288-05-29,,,,,,,
正応,j1288-05-29,j1293-09-06,,,,,,,
永仁,j1293-09-06,j1299-05-25,,,,,,,
正安,j1299-05-25,j1302-12-10,,,,,,,
乾元,j1302-12-10,j1303-09-16,,,,,,,
嘉元,j1303-09-16,j1307-01-18,,,,,,,
徳治,j1307-01-18,j1308-11-22,,,,,,,
延慶,j1308-11-22,j1311-05-17,,,,,,,
応長,j1311-05-17,j1312-04-27,,,,,,,
正和,j1312-04-27,j1317-03-16,,,,,,,
