グレゴリオ暦,1813/2/1,3月3日,4月1日,5月1日,5月30日,6月28日,7月27日,8月26日,9月24日,10月24日,11月23日,12月23日,1814/1/21
ユリウス暦,1813/1/20,2月19日,3月20日,4月19日,5月18日,6月16日,7月15日,8月14日,9月12日,10月12日,11月11日,12月11日,1814/1/9
文化十一年（甲戌）,一月,二月※,三月,四月※,五月※,六月※,七月,八月※,九月,十月,十一月※,十二月,
グレゴリオ暦,1814/2/20,3月22日,4月20日,5月20日,6月18日,7月17日,8月15日,9月14日,10月13日,11月12日,12月12日,1815/1/10,
ユリウス暦,1814/2/8,3月10日,4月8日,5月8日,6月6日,7月5日,8月3日,9月2日,10月1日,10月31日,11月30日,12月29日,
文化十二年（乙亥）,一月,二月,三月※,四月,五月※,六月※,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1815/2/9,3月11日,4月10日,5月9日,6月8日,7月7日,8月5日,9月3日,10月3日,11月1日,12月1日,12月30日,
ユリウス暦,1815/1/28,2月27日,3月29日,4月27日,5月27日,6月25日,7月24日,8月22日,9月21日,10月20日,11月19日,12月18日,
文化十三年（丙子）,一月,二月,三月※,四月,五月※,六月,七月※,八月,閏八月※,九月※,十月,十一月※,十二月
グレゴリオ暦,1816/1/29,2月28日,3月29日,4月27日,5月27日,6月25日,7月25日,8月23日,9月22日,10月21日,11月19日,12月19日,1817/1/17
ユリウス暦,1816/1/17,2月16日,3月17日,4月15日,5月15日,6月13日,7月13日,8月11日,9月10日,10月9日,11月7日,12月7日,1817/1/5
文化十四年（丁丑）,一月,二月※,三月,四月,五月※,六月,七月※,八月,九月※,十月※,十一月,十二月※,
グレゴリオ暦,1817/2/16,3月18日,4月16日,5月16日,6月15日,7月14日,8月13日,9月11日,10月11日,11月9日,12月8日,1818/1/7,
ユリウス暦,1817/2/4,3月6日,4月4日,5月4日,6月3日,7月2日,8月1日,8月30日,9月29日,10月28日,11月26日,12月26日,
文化十五年（戊寅）,一月,二月,三月※,四月,五月※,六月,七月,八月※,九月,十月※,十一月※,十二月,
グレゴリオ暦,1818/2/5,3月7日,4月6日,5月5日,6月4日,7月3日,8月2日,9月1日,9月30日,10月30日,11月28日,12月27日,
ユリウス暦,1818/1/24,2月23日,3月25日,4月23日,5月23日,6月21日,7月21日,8月20日,9月18日,10月18日,11月16日,12月15日,
文政元年（戊寅）,一月,二月,三月※,四月,五月※,六月,七月,八月※,九月,十月※,十一月※,十二月,
グレゴリオ暦,1818/2/5,3月7日,4月6日,5月5日,6月4日,7月3日,8月2日,9月1日,9月30日,10月30日,11月28日,12月27日,
ユリウス暦,1818/1/24,2月23日,3月25日,4月23日,5月23日,6月21日,7月21日,8月20日,9月18日,10月18日,11月16日,12月15日,
文政二年（己卯）,一月※,二月,三月※,四月,閏四月※,五月,六月,七月※,八月,九月,十月※,十一月,十二月※
グレゴリオ暦,1819/1/26,2月24日,3月26日,4月24日,5月24日,6月22日,7月22日,8月21日,9月19日,10月19日,11月18日,12月17日,1820/1/16
ユリウス暦,1819/1/14,2月12日,3月14日,4月12日,5月12日,6月10日,7月10日,8月9日,9月7日,10月7日,11月6日,12月5日,1820/1/4
文政三年（庚辰）,一月※,二月,三月※,四月,五月※,六月,七月※,八月,九月,十月,十一月※,十二月,
グレゴリオ暦,1820/2/14,3月14日,4月13日,5月12日,6月11日,7月10日,8月9日,9月7日,10月7日,11月6日,12月6日,1821/1/4,
ユリウス暦,1820/2/2,3月2日,4月1日,4月30日,5月30日,6月28日,7月28日,8月26日,9月25日,10月25日,11月24日,12月23日,
文政四年（辛巳）,一月※,二月,三月※,四月※,五月,六月※,七月,八月※,九月,十月,十一月※,十二月,
グレゴリオ暦,1821/2/3,3月4日,4月3日,5月2日,5月31日,6月30日,7月29日,8月28日,9月26日,10月26日,11月25日,12月24日,
ユリウス暦,1821/1/22,2月20日,3月22日,4月20日,5月19日,6月18日,7月17日,8月16日,9月14日,10月14日,11月13日,12月12日,
文政五年（壬午）,一月,閏一月※,二月,三月※,四月※,五月※,六月,七月※,八月,九月,十月※,十一月,十二月
グレゴリオ暦,1822/1/23,2月22日,3月23日,4月22日,5月21日,6月19日,7月18日,8月17日,9月15日,10月15日,11月14日,12月13日,1823/1/12
ユリウス暦,1822/1/11,2月10日,3月11日,4月10日,5月9日,6月7日,7月6日,8月5日,9月3日,10月3日,11月2日,12月1日,12月31日
文政六年（癸未）,一月,二月※,三月,四月※,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月,
グレゴリオ暦,1823/2/11,3月13日,4月11日,5月11日,6月9日,7月8日,8月6日,9月5日,10月4日,11月3日,12月2日,1824/1/1,
ユリウス暦,1823/1/30,3月1日,3月30日,4月29日,5月28日,6月26日,7月25日,8月24日,9月22日,10月22日,11月20日,12月20日,
文政七年（甲申）,一月,二月,三月※,四月※,五月,六月※,七月※,八月,閏八月※,九月,十月※,十一月,十二月
グレゴリオ暦,1824/1/31,3月1日,3月31日,4月29日,5月28日,6月27日,7月26日,8月24日,9月23日,10月22日,11月21日,12月20日,1825/1/19
